Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,ma_10,ma_30,momentum,volatility,asset1_returns,asset2_returns,hedged_returns,target,pred_proba,prediction,Position,strategy_return,capital
2023-09-05,55.76862335205078,39.40687561035156,4.021211405715424,3.673940308956103,-3.563200022471126,-3.644600621986564,0.034824376292344444,2.337460370635056,-3.605278524278378,-3.621247389719115,0.06010803124641839,0.01749093070377166,-0.008261743719879533,-0.010892151442632225,0.003976850121939372,0,0.4141401,0,0,0.0,124.43346662185803
2023-09-06,55.73070526123047,39.2664794921875,4.020531256466928,3.670371215785575,-3.5655450229339976,-3.6429919646951237,0.03609566757212892,2.1456021448104856,-3.6000762671929656,-3.61737572000233,0.04833824400928499,0.01966061854155167,-0.0006799179994267934,-0.0035627315281798744,-0.0023390550090291694,1,0.18102832,0,0,-0.0,124.43346662185803
2023-09-07,55.304046630859375,39.426021575927734,4.012846081815966,3.674426044394885,-3.5476588679384435,-3.6411833763542276,0.03795491762060458,2.4640946227482377,-3.5928845088708976,-3.612702314055855,0.0667905515264331,0.023164485776016493,-0.007655719201312583,0.004063060549443387,0.01784137474579532,1,0.18102832,0,0,0.0,124.43346662185803
2023-09-08,55.304046630859375,39.5217399597168,4.012846081815966,3.6768508992312623,-3.5452340131020663,-3.6391548073290974,0.039604552100045876,2.3714646233032957,-3.585649528122764,-3.6089229298431045,0.046827519921549765,0.026272037216287788,0.0,0.0024277971746331506,0.0024277971746331506,1,0.18102832,0,0,0.0,124.43346662185803
2023-09-11,55.82551574707031,39.706817626953125,4.022231036323408,3.681522901588088,-3.557452501177522,-3.6372423987182065,0.04059820545515229,1.9653552822384235,-3.578997158194163,-3.605448347953024,0.009726379991630285,0.027780342096220583,0.00942913128385725,0.004682933176144877,-0.012287064026124766,1,0.17410216,0,0,-0.0,124.43346662185803
2023-09-12,55.27560043334961,40.37689208984375,4.012331589341221,3.698257643351136,-3.5229013156155276,-3.6348935525845985,0.042839572748928696,2.6142239472234587,-3.5689564843839614,-3.6009817274830045,0.04029870685559844,0.03222281406489616,-0.009850608746943101,0.016875551931307964,0.0346040995401916,0,0.15668565,0,0,0.0,124.43346662185803
2023-09-13,55.4083366394043,40.30669403076172,4.014730063287803,3.6965175601404128,-3.5289580314976923,-3.6325271983100222,0.044503041170038726,2.3272379614824388,-3.560463960839402,-3.5968721849311476,0.03658699143630528,0.035162314157586125,0.002401352586205441,-0.0017385701436809509,-0.0060603836218043544,0,0.15668565,0,0,-0.0,124.43346662185803
2023-09-14,55.8670539855957,41.22565078735352,4.022974832272231,3.7190606545515896,-3.5212533885182653,-3.629675111923894,0.04578738932437835,2.367938530793285,-3.551144357744741,-3.5928363050588548,0.026405479420178235,0.03815547139090024,0.008278850693113737,0.022799110140128587,0.007899320448932773,0,0.17410216,0,0,0.0,124.43346662185803
2023-09-15,55.3701057434082,40.91933822631836,4.014039840592998,3.7116027685752897,-3.512630600757583,-3.626810036111567,0.04737254082554186,2.410245120152429,-3.5432012645181374,-3.588658291735305,0.032603412344483385,0.04067366894023245,-0.008895193262125956,-0.00743014495065597,0.008578901930508497,0,0.17410216,0,0,0.0,124.43346662185803
2023-09-18,55.71414566040039,41.487300872802734,4.020234076277534,3.725387377343167,-3.509994013909469,-3.6239359582218995,0.0488802320275244,2.3310434420251926,-3.5374827777921696,-3.58506831453115,0.04745848726805324,0.042119090561224225,0.006213459634455187,0.013880054543968123,0.0026974344871620298,0,0.09990798,0,0,0.0,124.43346662185803
