Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,Position,Entry_Value,Current_Value,hedged_returns,strategy_return,capital
2023-07-11,56.432315826416016,38.21987533569336,4.033041970061818,3.6433556770510083,-1.7325882036872726,-1.8002815092855569,0.03507784962414489,1.9298020352903669,-1,,0.9979959974986504,0.002004002501349583,-0.002004002501349583,92.90954183299827
2023-07-12,56.735713958740234,38.047576904296875,4.03840388826072,3.638837400395473,-1.744253782935833,-1.8003653290580293,0.03493500650793032,1.6061696198470354,-1,,1.011674583112119,-0.011674583112119078,0.011674583112119078,93.9942220010365
2023-07-13,57.21925354003906,37.62638854980469,4.0468904420988965,3.6277056273662653,-1.766697919563926,-1.8007027109470415,0.03449591747366896,0.9857627763943825,-1,,1.0224305452748348,-0.022430545274834856,0.022430545274834856,96.10256365320362
2023-07-14,57.74072265625,37.60723876953125,4.055962689851827,3.6271965523324186,-1.7793000735079243,-1.8010399089793359,0.034174659217296136,0.6361390565208274,-1,,1.0126570463563798,-0.012657046356379828,0.012657046356379828,97.31893825632916
2023-07-17,57.65538787841797,38.62830352783203,4.054483700776861,3.65398525978924,-1.7505399106766562,-1.800652359109045,0.03461088969958468,1.4478809665788588,-1,,0.9708792512483406,0.02912074875165936,-0.02912074875165936,94.48493790658834
2023-07-18,57.42784118652344,38.647457122802734,4.050529223825311,3.6544809804447644,-1.7447729713412836,-1.8002973166792267,0.03507185665272385,1.5831595654526247,-1,,0.9942433465063426,0.00575665349365742,-0.00575665349365742,93.94102085869037
2023-07-19,58.44232940673828,38.6921272277832,4.068040445888568,3.6556361485342475,-1.7669598234425221,-1.8003724783655857,0.034993935334115746,0.9548127298071962,-1,,1.0223917564720195,-0.02239175647201951,0.02239175647201951,96.04452532049108
2023-07-20,59.15342712402344,39.336673736572266,4.080134528289895,3.672157257697663,-1.7665598230503998,-1.8003736214078365,0.03499281183131737,0.9663069810004381,-1,,0.9995606506020642,0.0004393493979357281,-0.0004393493979357281,96.00232821611648
2023-07-21,59.20083236694336,39.29200744628906,4.080935602043537,3.6710211253241867,-1.7687637666631058,-1.8004502557573188,0.034916930186077534,0.90748209895174,-1,,1.0022037262706773,-0.002203726270677422,0.002203726270677422,96.21389106885253
2023-07-24,59.21979904174805,39.13246154785156,4.081255929249046,3.6669523411656026,-1.7732595389594463,-1.7990335756145546,0.03416075375260821,0.7544926216137832,-1,,1.0044875744043833,-0.004487574404383316,0.004487574404383316,96.64565806375923
2023-07-25,59.020694732666016,38.76232147216797,4.077888140585229,3.657448678731807,-1.778274023498922,-1.7978285872850845,0.033516673964329814,0.5834279322278062,-1,,1.004977018283865,-0.004977018283865137,0.004977018283865137,97.12666527099873
2023-07-26,59.77918243408203,39.41964340209961,4.090657480517407,3.674264255567463,-1.7784796568016787,-1.796591263793775,0.032748421247003084,0.5530528282719523,-1,,1.0001725945337876,-0.00017259453378752967,0.00017259453378752967,97.14342880250952
2023-07-27,59.20083236694336,39.885501861572266,4.080935602043537,3.6860128959985423,-1.75377199598875,-1.7949868632383306,0.032321418650278814,1.275156505211906,-1,,0.975285842205842,0.024714157794158028,-0.024714157794158028,94.74261077441875
2023-07-28,59.23875427246094,39.80891799926758,4.081575960692017,3.6840909575237406,-1.7565475164950124,-1.7935045750345724,0.031899545807485524,1.1585449762387425,-1,,1.002773948122832,-0.00277394812283189,0.00277394812283189,95.00542186172865
2023-07-31,58.717288970947266,39.36858367919922,4.072734214489553,3.672968129688255,-1.7558845182109035,-1.7921608029996339,0.031668392061123915,1.1455044739471658,-1,,0.9993273221958484,0.000672677804151544,-0.000672677804151544,94.94151382316821
2023-08-01,58.56559371948242,39.36858367919922,4.070147386257225,3.672968129688255,-1.7524363410014079,-1.790929612698655,0.0316812826581757,1.2150162009716934,-1,,0.9965562788683858,0.0034437211316141907,-0.0034437211316141907,94.61456172574792
2023-08-02,58.745731353759766,39.98122024536133,4.073218492576218,3.688409850001216,-1.741088328451779,-1.7892564968870779,0.03148218997868576,1.530013269976132,-1,,0.9885384405855459,0.011461559414454113,-0.011461559414454113,93.53013130505573
2023-08-03,58.44232940673828,39.783390045166016,4.068040445888568,3.683449489633083,-1.7391464823436866,-1.7875901445306897,0.03130889191361191,1.5472812746190348,-1,,0.9980637107906972,0.00193628920930276,-0.00193628920930276,93.34902992106507
2023-08-04,57.560577392578125,39.50260162353515,4.05283791311163,3.6763665336251115,-1.7259648431253782,-1.7856530068793381,0.03128605536745801,1.9078200512310086,-1,,0.9869465947295288,0.013053405270471208,-0.013053405270471208,92.13050720190007
2023-08-07,58.01567459106445,40.210968017578125,4.060713225605118,3.6941397946700945,-1.7186891762841134,-1.78368885136865,0.03154720966513411,2.060393796297426,-1,,0.9926068934955014,0.007393106504498627,-0.007393106504498627,91.44937654984294
2023-08-08,57.75968170166016,40.000370025634766,4.0562909838640575,3.6888887047120185,-1.7180455288197964,-1.7817637828493866,0.03179679687879403,2.00392052924316,-1,,0.9993556044484049,0.0006443955515950768,-0.0006443955515950768,91.39044697839807
2023-08-09,57.89242172241211,40.05142593383789,4.058586490389399,3.6901642767217124,-1.719829809484514,-1.7801079627724758,0.03226679232240849,1.8681173103810582,-1,,1.0017869814213936,-0.0017869814213934809,0.0017869814213934809,91.55376000924133
2023-08-10,57.75968170166016,40.4088020324707,4.0562909838640575,3.6990476333272864,-1.7078866002045285,-1.778236648325284,0.032985938975551445,2.1327283777762895,-1,,0.9880207258810751,0.011979274118924816,-0.011979274118924816,90.45701242147236
2023-08-11,57.9967155456543,40.80445861816406,4.060386380419763,3.7087913552964697,-1.7036019392161816,-1.776148081711651,0.033484052482754614,2.1665878863627115,-1,,0.9956789081836429,0.004321091816357106,-0.004321091816357106,90.06613936536583
2023-08-14,57.72175979614258,40.715118408203125,4.055634221939564,3.7065994831355003,-1.6994593032089833,-1.773921870296842,0.033850242499408774,2.199764657200292,-1,,0.9958699910747346,0.0041300089252653775,-0.0041300089252653775,89.69416540592266
2023-08-15,57.33303451538086,40.03866195678711,4.04887697619073,3.689845536225978,-1.7072060108674019,-1.7719017209425219,0.0339756039492462,1.904181311147976,-1,,1.0076375044433157,-0.007637504443315577,0.007637504443315577,90.37920499274989
2023-08-16,57.34251022338867,39.96207809448242,4.049042237372632,3.6879309567945997,-1.7093408793129194,-1.7699493405868814,0.03398054757227201,1.7836222663880255,-1,,1.0021330550110579,-0.0021330550110577775,0.0021330550110577775,90.57198880885511
2023-08-17,57.46576690673828,39.46430969238281,4.051189412363589,3.6753967113662553,-1.724737255197431,-1.7680370239882655,0.03305399001562238,1.3099710131929507,-1,,1.0153212243558951,-0.01532122435589504,0.01532122435589504,91.9596625697552
2023-08-18,57.78812789916992,39.52812194824219,4.05678335491259,3.6770123666490466,-1.7305781851519715,-1.7663653911045893,0.032219523795731196,1.110730443426335,-1,,1.0058605188783363,-0.00586051887833627,0.00586051887833627,92.49859390829069
2023-08-21,57.29510498046875,39.11970138549805,4.0482151921564915,3.666626211842443,-1.7295431937171655,-1.7646975415133914,0.031336957425147555,1.1218175178683742,-1,,0.9989600483796298,0.0010399516203701623,-0.0010399516203701623,92.40239984567378
2023-08-22,56.94430160522461,38.74955749511719,4.042073625277142,3.6571193362533063,-1.7308635145597182,-1.7636969087540137,0.031395752887206085,1.0457909486118837,-1,,1.0013003611185252,-0.0013003611185250768,0.0013003611185250768,92.52255633369153
2023-08-23,57.14340591430664,38.91548538208008,4.045564001506921,3.6613922532124064,-1.7312431816484026,-1.7625734207183619,0.03126830432227289,1.0019807517237906,-1,,1.0003786542522486,-0.00037865425224869846,0.00037865425224869846,92.55759039307618
2023-08-24,56.991703033447266,38.80699920654297,4.042905696422832,3.658600622281772,-1.7304913585173058,-1.7613547174063147,0.030993172846140154,0.9958115305659162,-1,,0.9992489895110971,0.000751010488902876,-0.000751010488902876,92.4880786718634
2023-08-25,57.25717544555664,38.883583068847656,4.047552969874103,3.660572132466599,-1.7347145473854364,-1.7601673982525334,0.03054799749567989,0.8332084900392107,-1,,1.0042356607182639,-0.004235660718263807,0.004235660718263807,92.87982679360152
2023-08-28,57.418365478515625,39.10693359375,4.050364208222193,3.666299781033683,-1.7327342090885902,-1.759015386990087,0.03018443377168654,0.8706864637675931,-1,,0.9980084995928798,0.0019915004071201633,-0.0019915004071201633,92.69485658072881
2023-08-29,57.36146926879883,39.40687561035156,4.049372810830793,3.673940308956103,-1.7237721732871933,-1.7580814059825278,0.030352361944377695,1.1303645086404794,-1,,0.9910093557368638,0.008990644263136184,-0.008990644263136184,91.86147010018905
2023-08-30,57.33303451538086,39.34944152832031,4.04887697619073,3.672481782343901,-1.7245697647494787,-1.7568781024354891,0.030150510024189846,1.0715685293578587,-1,,1.0007966921594695,-0.0007966921594694981,0.0007966921594694981,91.93465541317522
2023-08-31,56.72623443603515,39.477073669433594,4.038236792192633,3.6757200899699343,-1.707148358489928,-1.7556248561811347,0.03055437052057534,1.5865650924983887,-1,,0.9826485332380867,0.017351466761913372,-0.017351466761913372,90.33945429550555
2023-09-01,56.23320770263672,39.84082794189453,4.029507466784756,3.684892214174521,-1.6863402622677417,-1.7538412351021528,0.031270168839899665,2.158637939565015,-1,,0.9792003505819723,0.020799649418027658,-0.020799649418027658,88.4604253175431
2023-09-05,55.76862335205078,39.40687561035156,4.021211405715424,3.673940308956103,-1.6862337259745224,-1.7521347858064948,0.031982974741101275,2.060504389145614,-1,,0.9998794540978452,0.00012054590215476897,-0.00012054590215476897,88.4497617757682
