Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
LRCX,LAM RESEARCH CORP,Equity,0.08,151.08,47802,7221926.16,7221926.16,Information Technology,2502247,US5128071082,NASDAQ
WELL,WELLTOWER INC,Equity,0.08,63.01,112313,7076842.13,7076842.13,Real Estate,BYVYHH4,US95040Q1040,New York Stock Exchange Inc.
ROK,ROCKWELL AUTOMATION INC,Equity,0.08,189.55,37247,7060168.85,7060168.85,Industrials,2754060,US7739031091,New York Stock Exchange Inc.
SYF,SYNCHRONY FINANCIAL,Equity,0.08,31.34,225143,7055981.62,7055981.62,Financials,BP96PS6,US87165B1035,New York Stock Exchange Inc.
COL,ROCKWELL COLLINS INC,Equity,0.08,141.07,49716,7013436.12,7013436.12,Industrials,2767228,US7743411016,New York Stock Exchange Inc.
KR,KROGER,Equity,0.08,29.08,240724,7000253.92,7000253.92,Consumer Staples,2497406,US5010441013,New York Stock Exchange Inc.
A,AGILENT TECHNOLOGIES INC,Equity,0.08,71.68,97543,6991882.24,6991882.24,Health Care,2520153,US00846U1016,New York Stock Exchange Inc.
RHT,RED HAT INC,Equity,0.08,129.64,53519,6938203.16,6938203.16,Information Technology,2447218,US7565771026,New York Stock Exchange Inc.
MNST,MONSTER BEVERAGE CORP,Equity,0.08,57.19,121149,6928511.31,6928511.31,Consumer Staples,BZ07BW4,US61174X1090,NASDAQ
DLR,DIGITAL REALTY TRUST REIT INC TRUS,Equity,0.08,111.14,62123,6904350.22,6904350.22,Real Estate,B03GQS4,US2538681030,New York Stock Exchange Inc.
CMI,CUMMINS INC,Equity,0.08,148.95,46150,6874042.5,6874042.5,Industrials,2240202,US2310211063,New York Stock Exchange Inc.
SWK,STANLEY BLACK & DECKER INC,Equity,0.08,147.51,46556,6867475.56,6867475.56,Industrials,B3Q2FJ4,US8545021011,New York Stock Exchange Inc.
FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Equity,0.08,46.18,147951,6832377.18,6832377.18,Communication,BBM4S80,US90130A2006,NASDAQ
NTAP,NETAPP INC,Equity,0.08,85.67,79514,6811964.38,6811964.38,Information Technology,2630643,US64110D1046,NASDAQ
APTV,APTIV PLC,Equity,0.08,84.94,79978,6793331.32,6793331.32,Consumer Discretionary,B783TY6,JE00B783TY65,New York Stock Exchange Inc.
NTRS,NORTHERN TRUST CORP TRUST,Equity,0.07,103.77,64139,6655704.03,6655704.03,Financials,2648668,US6658591044,NASDAQ
EIX,EDISON INTERNATIONAL,Equity,0.07,68.72,96330,6619797.6,6619797.6,Utilities,2829515,US2810201077,New York Stock Exchange Inc.
ANDV,ANDEAVOR,Equity,0.07,153.5,42649,6546621.5,6546621.5,Energy,BF0G7N4,US03349M1053,New York Stock Exchange Inc.
HLT,HILTON WORLDWIDE HOLDINGS INC,Equity,0.07,77.08,84695,6528290.6,6528290.6,Consumer Discretionary,BYVMW06,US43300A2033,New York Stock Exchange Inc.
WEC,WEC ENERGY GROUP INC,Equity,0.07,67.67,96070,6501056.9,6501056.9,Utilities,BYY8XK8,US92939U1060,New York Stock Exchange Inc.
TMUS,T MOBILE US INC,Equity,0.07,69.72,92796,6469737.12,6469737.12,Communication,B94Q9V0,US8725901040,NASDAQ
RCL,ROYAL CARIBBEAN CRUISES LTD,Equity,0.07,128.4,50245,6451458,6451458,Consumer Discretionary,2754907,LR0008862868,New York Stock Exchange Inc.
UAL,UNITED CONTINENTAL HOLDINGS INC,Equity,0.07,86.71,73907,6408475.97,6408475.97,Industrials,B4QG225,US9100471096,NASDAQ
IQV,IQVIA HOLDINGS INC,Equity,0.07,130.2,49218,6408183.6,6408183.6,Health Care,BDR73G1,US46266C1053,New York Stock Exchange Inc.
LVS,LAS VEGAS SANDS CORP,Equity,0.07,59.2,107970,6391824,6391824,Consumer Discretionary,B02T2J7,US5178341070,New York Stock Exchange Inc.
AMP,AMERIPRISE FINANCE INC,Equity,0.07,148.75,42835,6371706.25,6371706.25,Financials,B0J7D57,US03076C1062,New York Stock Exchange Inc.
IDXX,IDEXX LABORATORIES INC,Equity,0.07,242.38,26054,6314968.52,6314968.52,Health Care,2459202,US45168D1046,NASDAQ
CTL,CENTURYLINK INC,Equity,0.07,21.83,288956,6307909.48,6307909.48,Communication,2185046,US1567001060,New York Stock Exchange Inc.
KEY,KEYCORP,Equity,0.07,19.76,319233,6308044.08,6308044.08,Financials,2490911,US4932671088,New York Stock Exchange Inc.
